1941j             "1941: Counter Attack (Japan)"
mmatrix           "Mars Matrix: Hyper Solid Shooting (USA 000412)"
mmatrixd          "Mars Matrix: Hyper Solid Shooting (USA 000412 Phoenix Edition) (bootleg)"
msha              "Marvel Super Heroes (Asia 951024)"
msh               "Marvel Super Heroes (Euro 951024)"
mshbr1            "Marvel Super Heroes (Brazil 951024)"
mshb              "Marvel Super Heroes (Brazil 951117)"
mshh              "Marvel Super Heroes (Hispanic 951117)"
mshjr1            "Marvel Super Heroes (Japan 951024)"
mshj              "Marvel Super Heroes (Japan 951117)"
mshud             "Marvel Super Heroes (US 951024 Phoenix Edition) (bootleg)"
mshu              "Marvel Super Heroes (USA 951024)"
mshvsfa1          "Marvel Super Heroes Vs. Street Fighter (Asia 970620)"
mshvsf            "Marvel Super Heroes Vs. Street Fighter (Euro 970625)"
mshvsfa           "Marvel Super Heroes Vs. Street Fighter (Asia 970625)"
mshvsfb1          "Marvel Super Heroes Vs. Street Fighter (Brazil 970625)"
mshvsfb           "Marvel Super Heroes Vs. Street Fighter (Brazil 970827)"
mshvsfh           "Marvel Super Heroes Vs. Street Fighter (Hispanic 970625)"
mshvsfj2          "Marvel Super Heroes Vs. Street Fighter (Japan 970625)"
mshvsfj1          "Marvel Super Heroes Vs. Street Fighter (Japan 970702)"
mshvsfj           "Marvel Super Heroes Vs. Street Fighter (Japan 970707)"
mshvsfu1d         "Marvel Super Heroes Vs. Street Fighter (USA 970625 Phoenix Edition) (bootleg)"
mshvsfu1          "Marvel Super Heroes Vs. Street Fighter (USA 970625)"
mshvsfu           "Marvel Super Heroes Vs. Street Fighter (USA 970827)"
mvscar1           "Marvel Vs. Capcom: Clash of Super Heroes (Asia 980112)"
mvsc              "Marvel Vs. Capcom: Clash of Super Heroes (Euro 980123)"
mvsca             "Marvel Vs. Capcom: Clash of Super Heroes (Asia 980123)"
mvscb             "Marvel Vs. Capcom: Clash of Super Heroes (Brazil 980123)"
mvscr1            "Marvel Vs. Capcom: Clash of Super Heroes (Euro 980112)"
mvsch             "Marvel Vs. Capcom: Clash of Super Heroes (Hispanic 980123)"
mvscjr1           "Marvel Vs. Capcom: Clash of Super Heroes (Japan 980112)"
